<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170524,010000,56.5552000,56.5552000,56.5552000,56.5552000,0
20170525,010000,56.2743000,56.2743000,56.2743000,56.2743000,0
20170526,010000,56.0701000,56.0701000,56.0701000,56.0701000,0
20170527,010000,56.7560000,56.7560000,56.7560000,56.7560000,0
20170530,010000,56.7106000,56.7106000,56.7106000,56.7106000,0
20170531,010000,56.5168000,56.5168000,56.5168000,56.5168000,0
20170601,010000,56.6876000,56.6876000,56.6876000,56.6876000,0
20170602,010000,56.5373000,56.5373000,56.5373000,56.5373000,0
20170603,010000,56.6876000,56.6876000,56.6876000,56.6876000,0
20170606,010000,56.6152000,56.6152000,56.6152000,56.6152000,0
20170607,010000,56.6747000,56.6747000,56.6747000,56.6747000,0
20170608,010000,56.5878000,56.5878000,56.5878000,56.5878000,0
20170609,010000,56.9857000,56.9857000,56.9857000,56.9857000,0
20170610,010000,57.0020000,57.0020000,57.0020000,57.0020000,0
20170614,010000,56.9096000,56.9096000,56.9096000,56.9096000,0
20170615,010000,57.0303000,57.0303000,57.0303000,57.0303000,0
20170616,010000,57.4437000,57.4437000,57.4437000,57.4437000,0
20170617,010000,57.7408000,57.7408000,57.7408000,57.7408000,0
20170620,010000,57.9585000,57.9585000,57.9585000,57.9585000,0
20170621,010000,58.5786000,58.5786000,58.5786000,58.5786000,0
20170622,010000,60.0000000,60.0000000,60.0000000,60.0000000,0
20170623,010000,60.1482000,60.1482000,60.1482000,60.1482000,0
20170624,010000,59.6564000,59.6564000,59.6564000,59.6564000,0
20170627,010000,59.0014000,59.0014000,59.0014000,59.0014000,0
20170628,010000,58.8843000,58.8843000,58.8843000,58.8843000,0
20170629,010000,59.5415000,59.5415000,59.5415000,59.5415000,0
20170630,010000,59.0855000,59.0855000,59.0855000,59.0855000,0
20170701,010000,59.3862000,59.3862000,59.3862000,59.3862000,0
20170704,010000,58.9695000,58.9695000,58.9695000,58.9695000,0
20170705,010000,59.2295000,59.2295000,59.2295000,59.2295000,0
20170706,010000,59.5787000,59.5787000,59.5787000,59.5787000,0
20170707,010000,60.2426000,60.2426000,60.2426000,60.2426000,0
20170708,010000,60.3792000,60.3792000,60.3792000,60.3792000,0
20170711,010000,60.3014000,60.3014000,60.3014000,60.3014000,0
20170712,010000,60.7397000,60.7397000,60.7397000,60.7397000,0
20170713,010000,60.6227000,60.6227000,60.6227000,60.6227000,0
20170714,010000,60.1836000,60.1836000,60.1836000,60.1836000,0
20170715,010000,59.8806000,59.8806000,59.8806000,59.8806000,0
20170718,010000,59.0657000,59.0657000,59.0657000,59.0657000,0
20170719,010000,59.3705000,59.3705000,59.3705000,59.3705000,0
20170720,010000,59.2418000,59.2418000,59.2418000,59.2418000,0
20170721,010000,59.0823000,59.0823000,59.0823000,59.0823000,0
20170722,010000,58.9325000,58.9325000,58.9325000,58.9325000,0
20170725,010000,59.6572000,59.6572000,59.6572000,59.6572000,0
20170726,010000,59.8185000,59.8185000,59.8185000,59.8185000,0
20170727,010000,59.9102000,59.9102000,59.9102000,59.9102000,0
20170728,010000,59.4102000,59.4102000,59.4102000,59.4102000,0
20170729,010000,59.5436000,59.5436000,59.5436000,59.5436000,0
20170801,010000,60.0633000,60.0633000,60.0633000,60.0633000,0
20170802,010000,59.8454000,59.8454000,59.8454000,59.8454000,0
20170803,010000,60.5819000,60.5819000,60.5819000,60.5819000,0
20170804,010000,60.7503000,60.7503000,60.7503000,60.7503000,0
20170805,010000,60.3281000,60.3281000,60.3281000,60.3281000,0
20170808,010000,60.0605000,60.0605000,60.0605000,60.0605000,0
20170809,010000,59.9886000,59.9886000,59.9886000,59.9886000,0
20170810,010000,59.9611000,59.9611000,59.9611000,59.9611000,0
20170811,010000,59.9298000,59.9298000,59.9298000,59.9298000,0
20170812,010000,60.1873000,60.1873000,60.1873000,60.1873000,0
20170815,010000,59.7990000,59.7990000,59.7990000,59.7990000,0
20170816,010000,59.9266000,59.9266000,59.9266000,59.9266000,0
20170817,010000,59.6521000,59.6521000,59.6521000,59.6521000,0
20170818,010000,59.2490000,59.2490000,59.2490000,59.2490000,0
20170819,010000,59.3612000,59.3612000,59.3612000,59.3612000,0
20170822,010000,59.1409000,59.1409000,59.1409000,59.1409000,0
20170823,010000,59.0396000,59.0396000,59.0396000,59.0396000,0
20170824,010000,59.1312000,59.1312000,59.1312000,59.1312000,0
20170825,010000,59.1397000,59.1397000,59.1397000,59.1397000,0
20170826,010000,59.1476000,59.1476000,59.1476000,59.1476000,0
20170829,010000,58.5469000,58.5469000,58.5469000,58.5469000,0
20170830,010000,58.5320000,58.5320000,58.5320000,58.5320000,0
20170831,010000,58.7306000,58.7306000,58.7306000,58.7306000,0
20170901,010000,58.5454000,58.5454000,58.5454000,58.5454000,0
20170902,010000,58.0557000,58.0557000,58.0557000,58.0557000,0
20170905,010000,57.7817000,57.7817000,57.7817000,57.7817000,0
20170906,010000,57.8503000,57.8503000,57.8503000,57.8503000,0
20170907,010000,57.3387000,57.3387000,57.3387000,57.3387000,0
20170908,010000,57.1411000,57.1411000,57.1411000,57.1411000,0
20170909,010000,56.9966000,56.9966000,56.9966000,56.9966000,0
20170912,010000,57.1694000,57.1694000,57.1694000,57.1694000,0
20170913,010000,57.2656000,57.2656000,57.2656000,57.2656000,0
20170914,010000,57.6679000,57.6679000,57.6679000,57.6679000,0
20170915,010000,57.7706000,57.7706000,57.7706000,57.7706000,0
20170916,010000,57.5336000,57.5336000,57.5336000,57.5336000,0
20170919,010000,57.6242000,57.6242000,57.6242000,57.6242000,0
20170920,010000,58.0993000,58.0993000,58.0993000,58.0993000,0
20170921,010000,58.1290000,58.1290000,58.1290000,58.1290000,0
20170922,010000,58.2242000,58.2242000,58.2242000,58.2242000,0
20170923,010000,57.6527000,57.6527000,57.6527000,57.6527000,0
20170926,010000,57.5660000,57.5660000,57.5660000,57.5660000,0
20170927,010000,57.5186000,57.5186000,57.5186000,57.5186000,0
20170928,010000,58.0102000,58.0102000,58.0102000,58.0102000,0
20170929,010000,58.4255000,58.4255000,58.4255000,58.4255000,0
20170930,010000,58.0169000,58.0169000,58.0169000,58.0169000,0
20171003,010000,57.8134000,57.8134000,57.8134000,57.8134000,0
20171004,010000,57.9375000,57.9375000,57.9375000,57.9375000,0
20171005,010000,57.7832000,57.7832000,57.7832000,57.7832000,0
20171006,010000,57.5811000,57.5811000,57.5811000,57.5811000,0
20171007,010000,57.7612000,57.7612000,57.7612000,57.7612000,0
20171010,010000,58.3151000,58.3151000,58.3151000,58.3151000,0
20171011,010000,58.0713000,58.0713000,58.0713000,58.0713000,0
20171012,010000,57.9210000,57.9210000,57.9210000,57.9210000,0
20171013,010000,57.6869000,57.6869000,57.6869000,57.6869000,0
20171014,010000,57.6196000,57.6196000,57.6196000,57.6196000,0
20171017,010000,57.0861000,57.0861000,57.0861000,57.0861000,0
20171018,010000,57.3392000,57.3392000,57.3392000,57.3392000,0
20171019,010000,57.2721000,57.2721000,57.2721000,57.2721000,0
20171020,010000,57.5706000,57.5706000,57.5706000,57.5706000,0
20171021,010000,57.5118000,57.5118000,57.5118000,57.5118000,0
20171024,010000,57.4706000,57.4706000,57.4706000,57.4706000,0
20171025,010000,57.5852000,57.5852000,57.5852000,57.5852000,0
20171026,010000,57.6140000,57.6140000,57.6140000,57.6140000,0
20171027,010000,57.7643000,57.7643000,57.7643000,57.7643000,0
20171028,010000,58.0833000,58.0833000,58.0833000,58.0833000,0
20171031,010000,57.8716000,57.8716000,57.8716000,57.8716000,0
20171101,010000,58.1179000,58.1179000,58.1179000,58.1179000,0
20171102,010000,58.1557000,58.1557000,58.1557000,58.1557000,0
20171103,010000,58.0869000,58.0869000,58.0869000,58.0869000,0
20171104,010000,58.4296000,58.4296000,58.4296000,58.4296000,0
20171108,010000,58.4557000,58.4557000,58.4557000,58.4557000,0
20171109,010000,59.2480000,59.2480000,59.2480000,59.2480000,0
20171110,010000,59.2527000,59.2527000,59.2527000,59.2527000,0
20171111,010000,59.2808000,59.2808000,59.2808000,59.2808000,0
20171114,010000,59.1823000,59.1823000,59.1823000,59.1823000,0
20171115,010000,59.6207000,59.6207000,59.6207000,59.6207000,0
20171116,010000,60.2490000,60.2490000,60.2490000,60.2490000,0
20171117,010000,59.9898000,59.9898000,59.9898000,59.9898000,0
20171118,010000,59.6325000,59.6325000,59.6325000,59.6325000,0
20171121,010000,59.2746000,59.2746000,59.2746000,59.2746000,0
20171122,010000,59.4604000,59.4604000,59.4604000,59.4604000,0
20171123,010000,59.0061000,59.0061000,59.0061000,59.0061000,0
20171124,010000,58.4622000,58.4622000,58.4622000,58.4622000,0
20171125,010000,58.5318000,58.5318000,58.5318000,58.5318000,0
20171128,010000,58.2773000,58.2773000,58.2773000,58.2773000,0
20171129,010000,58.4125000,58.4125000,58.4125000,58.4125000,0
20171130,010000,58.3311000,58.3311000,58.3311000,58.3311000,0
20171201,010000,58.5814000,58.5814000,58.5814000,58.5814000,0
20171202,010000,58.5182000,58.5182000,58.5182000,58.5182000,0
20171205,010000,58.9911000,58.9911000,58.9911000,58.9911000,0
20171206,010000,58.6924000,58.6924000,58.6924000,58.6924000,0
20171207,010000,58.9281000,58.9281000,58.9281000,58.9281000,0
20171208,010000,59.2948000,59.2948000,59.2948000,59.2948000,0
20171209,010000,59.2811000,59.2811000,59.2811000,59.2811000,0
20171212,010000,59.2348000,59.2348000,59.2348000,59.2348000,0
20171213,010000,58.8370000,58.8370000,58.8370000,58.8370000,0
20171214,010000,59.1446000,59.1446000,59.1446000,59.1446000,0
20171215,010000,58.7082000,58.7082000,58.7082000,58.7082000,0
